trade_id,date,instrument,side,quantity,trade_price
T00001,2025-01-02,EURUSD,BUY,75000,1.08824
T00002,2025-01-02,EURUSD,SELL,25000,1.08658
T00003,2025-01-02,EURUSD,SELL,50000,1.08737
T00004,2025-01-02,GBPUSD,SELL,100000,1.2664
T00005,2025-01-02,GBPUSD,SELL,75000,1.26685
T00006,2025-01-02,GBPUSD,BUY,25000,1.26732
T00007,2025-01-02,AUDUSD,SELL,25000,0.67471
T00008,2025-01-02,AUDUSD,SELL,100000,0.67541
T00009,2025-01-03,AUDUSD,BUY,50000,0.67869
T00010,2025-01-03,AUDUSD,SELL,50000,0.67667
T00011,2025-01-06,EURUSD,SELL,25000,1.08812
T00012,2025-01-06,EURUSD,SELL,25000,1.08766
T00013,2025-01-06,EURUSD,SELL,75000,1.0888
T00014,2025-01-06,GBPUSD,BUY,100000,1.27166
T00015,2025-01-06,GBPUSD,SELL,150000,1.2695
T00016,2025-01-06,AUDUSD,SELL,75000,0.67504
T00017,2025-01-07,EURUSD,BUY,25000,1.09388
T00018,2025-01-07,EURUSD,BUY,100000,1.09378
T00019,2025-01-07,AUDUSD,BUY,100000,0.67562
T00020,2025-01-07,AUDUSD,SELL,150000,0.67542
T00021,2025-01-08,EURUSD,BUY,150000,1.09341
T00022,2025-01-08,EURUSD,BUY,150000,1.09401
T00023,2025-01-08,AUDUSD,SELL,25000,0.67393
T00024,2025-01-09,EURUSD,SELL,50000,1.09344
T00025,2025-01-09,GBPUSD,SELL,50000,1.26386
T00026,2025-01-09,GBPUSD,SELL,50000,1.26291
T00027,2025-01-09,AUDUSD,SELL,25000,0.66891
T00028,2025-01-10,GBPUSD,BUY,150000,1.26115
T00029,2025-01-10,GBPUSD,SELL,25000,1.26011
T00030,2025-01-10,AUDUSD,SELL,50000,0.67005
T00031,2025-01-10,AUDUSD,BUY,100000,0.67028
T00032,2025-01-13,EURUSD,SELL,75000,1.10385
T00033,2025-01-13,GBPUSD,SELL,50000,1.25652
T00034,2025-01-14,GBPUSD,SELL,75000,1.26154
T00035,2025-01-14,GBPUSD,BUY,100000,1.26039
T00036,2025-01-14,AUDUSD,BUY,100000,0.67095
T00037,2025-01-15,EURUSD,BUY,100000,1.10248
T00038,2025-01-15,AUDUSD,SELL,75000,0.6701
T00039,2025-01-15,AUDUSD,SELL,50000,0.67091
T00040,2025-01-15,AUDUSD,BUY,50000,0.67072
T00041,2025-01-16,EURUSD,SELL,50000,1.10106
T00042,2025-01-16,AUDUSD,SELL,25000,0.66551
T00043,2025-01-17,EURUSD,BUY,150000,1.09932
T00044,2025-01-17,EURUSD,SELL,150000,1.09717
T00045,2025-01-17,EURUSD,SELL,75000,1.09808
T00046,2025-01-17,GBPUSD,BUY,150000,1.26689
T00047,2025-01-17,GBPUSD,SELL,50000,1.26903
T00048,2025-01-17,AUDUSD,BUY,100000,0.66479
T00049,2025-01-20,EURUSD,SELL,150000,1.09834
T00050,2025-01-20,GBPUSD,SELL,50000,1.26562
T00051,2025-01-20,GBPUSD,BUY,150000,1.26794
T00052,2025-01-20,GBPUSD,BUY,100000,1.26613
T00053,2025-01-20,AUDUSD,SELL,75000,0.66397
T00054,2025-01-20,AUDUSD,SELL,100000,0.66473
T00055,2025-01-20,AUDUSD,BUY,150000,0.66323
T00056,2025-01-21,EURUSD,BUY,100000,1.09246
T00057,2025-01-21,GBPUSD,SELL,150000,1.26713
T00058,2025-01-21,GBPUSD,BUY,100000,1.26752
T00059,2025-01-21,GBPUSD,BUY,50000,1.26661
T00060,2025-01-21,AUDUSD,SELL,50000,0.66116
T00061,2025-01-22,EURUSD,BUY,75000,1.08518
T00062,2025-01-22,EURUSD,BUY,100000,1.08588
T00063,2025-01-22,GBPUSD,BUY,25000,1.2721
T00064,2025-01-22,AUDUSD,BUY,25000,0.66068
T00065,2025-01-23,EURUSD,SELL,150000,1.08368
T00066,2025-01-23,GBPUSD,BUY,150000,1.26886
T00067,2025-01-23,AUDUSD,BUY,100000,0.66263
T00068,2025-01-24,EURUSD,SELL,150000,1.0793
T00069,2025-01-24,EURUSD,SELL,150000,1.08025
T00070,2025-01-24,GBPUSD,SELL,25000,1.26913
T00071,2025-01-24,GBPUSD,SELL,100000,1.26867
T00072,2025-01-24,GBPUSD,BUY,50000,1.26797
T00073,2025-01-24,AUDUSD,BUY,100000,0.66895
T00074,2025-01-27,EURUSD,SELL,150000,1.08124
T00075,2025-01-27,EURUSD,BUY,150000,1.08124
T00076,2025-01-27,GBPUSD,BUY,50000,1.26418
T00077,2025-01-27,AUDUSD,SELL,100000,0.66827
T00078,2025-01-28,EURUSD,SELL,100000,1.07732
T00079,2025-01-28,EURUSD,SELL,150000,1.07732
T00080,2025-01-28,GBPUSD,BUY,50000,1.25556
T00081,2025-01-28,AUDUSD,BUY,25000,0.66916
T00082,2025-01-29,EURUSD,BUY,25000,1.07045
T00083,2025-01-29,EURUSD,SELL,75000,1.07286
T00084,2025-01-29,EURUSD,BUY,100000,1.07019
T00085,2025-01-29,GBPUSD,BUY,75000,1.26282
T00086,2025-01-29,GBPUSD,BUY,150000,1.2627
T00087,2025-01-29,GBPUSD,SELL,100000,1.25931
T00088,2025-01-29,AUDUSD,BUY,25000,0.66935
T00089,2025-01-29,AUDUSD,SELL,25000,0.66951
T00090,2025-01-30,EURUSD,BUY,25000,1.07714
T00091,2025-01-30,GBPUSD,SELL,150000,1.26854
T00092,2025-01-30,GBPUSD,SELL,150000,1.26831
T00093,2025-01-30,GBPUSD,BUY,100000,1.26809
T00094,2025-01-30,AUDUSD,SELL,25000,0.66433
T00095,2025-01-31,EURUSD,BUY,25000,1.07694
T00096,2025-01-31,EURUSD,BUY,75000,1.07649
T00097,2025-01-31,GBPUSD,SELL,50000,1.2687
T00098,2025-01-31,GBPUSD,SELL,100000,1.26556
T00099,2025-01-31,AUDUSD,SELL,150000,0.66276
T00100,2025-02-03,EURUSD,SELL,75000,1.07713
T00101,2025-02-03,EURUSD,BUY,150000,1.07846
T00102,2025-02-03,EURUSD,SELL,150000,1.07607
T00103,2025-02-03,GBPUSD,BUY,50000,1.2733
T00104,2025-02-03,GBPUSD,BUY,150000,1.27146
T00105,2025-02-03,GBPUSD,SELL,50000,1.27466
T00106,2025-02-03,AUDUSD,BUY,25000,0.66316
T00107,2025-02-04,EURUSD,BUY,150000,1.07278
T00108,2025-02-04,EURUSD,SELL,25000,1.07137
T00109,2025-02-04,EURUSD,BUY,25000,1.07253
T00110,2025-02-05,EURUSD,BUY,150000,1.06943
T00111,2025-02-05,EURUSD,BUY,150000,1.06947
T00112,2025-02-05,GBPUSD,SELL,75000,1.27103
T00113,2025-02-05,GBPUSD,SELL,25000,1.26972
T00114,2025-02-05,GBPUSD,BUY,150000,1.26996
T00115,2025-02-05,AUDUSD,SELL,50000,0.67028
T00116,2025-02-05,AUDUSD,SELL,50000,0.66813
T00117,2025-02-06,EURUSD,SELL,100000,1.06962
T00118,2025-02-06,EURUSD,BUY,100000,1.07073
T00119,2025-02-06,GBPUSD,SELL,150000,1.27336
T00120,2025-02-06,AUDUSD,SELL,75000,0.67067
T00121,2025-02-06,AUDUSD,SELL,50000,0.67072
T00122,2025-02-07,EURUSD,SELL,50000,1.06453
T00123,2025-02-07,GBPUSD,SELL,25000,1.27893
T00124,2025-02-07,GBPUSD,SELL,25000,1.28052
T00125,2025-02-07,GBPUSD,BUY,50000,1.28239
T00126,2025-02-07,AUDUSD,BUY,150000,0.66989
T00127,2025-02-07,AUDUSD,SELL,150000,0.67077
T00128,2025-02-07,AUDUSD,SELL,150000,0.67018
T00129,2025-02-10,EURUSD,BUY,75000,1.06643
T00130,2025-02-10,GBPUSD,BUY,75000,1.28122
T00131,2025-02-11,EURUSD,BUY,75000,1.0639
T00132,2025-02-11,GBPUSD,SELL,50000,1.28745
T00133,2025-02-11,AUDUSD,SELL,100000,0.67097
T00134,2025-02-11,AUDUSD,SELL,150000,0.67073
T00135,2025-02-12,EURUSD,SELL,50000,1.06319
T00136,2025-02-12,GBPUSD,BUY,50000,1.27525
T00137,2025-02-12,GBPUSD,BUY,25000,1.27539
T00138,2025-02-12,GBPUSD,SELL,75000,1.27622
T00139,2025-02-12,AUDUSD,BUY,100000,0.67264
T00140,2025-02-12,AUDUSD,BUY,50000,0.67307
T00141,2025-02-13,EURUSD,SELL,75000,1.06273
T00142,2025-02-13,EURUSD,SELL,75000,1.06186
T00143,2025-02-13,GBPUSD,BUY,100000,1.27986
T00144,2025-02-14,EURUSD,BUY,75000,1.06756
T00145,2025-02-14,GBPUSD,SELL,25000,1.27906
T00146,2025-02-14,AUDUSD,SELL,50000,0.67177
T00147,2025-02-14,AUDUSD,BUY,100000,0.67272
T00148,2025-02-17,EURUSD,SELL,75000,1.06795
T00149,2025-02-17,GBPUSD,SELL,50000,1.28068
T00150,2025-02-17,AUDUSD,SELL,25000,0.67577
T00151,2025-02-18,EURUSD,SELL,50000,1.06516
T00152,2025-02-18,GBPUSD,BUY,75000,1.27896
T00153,2025-02-18,GBPUSD,BUY,150000,1.27906
T00154,2025-02-19,GBPUSD,SELL,75000,1.26894
T00155,2025-02-19,AUDUSD,BUY,25000,0.67486
T00156,2025-02-19,AUDUSD,SELL,75000,0.67468
T00157,2025-02-19,AUDUSD,BUY,50000,0.67482
T00158,2025-02-20,EURUSD,SELL,150000,1.06227
T00159,2025-02-20,GBPUSD,BUY,100000,1.26663
T00160,2025-02-20,AUDUSD,BUY,25000,0.68019
T00161,2025-02-21,EURUSD,BUY,100000,1.06421
T00162,2025-02-21,GBPUSD,BUY,25000,1.2687
T00163,2025-02-21,AUDUSD,SELL,100000,0.67682
T00164,2025-02-24,EURUSD,SELL,50000,1.05826
T00165,2025-02-24,GBPUSD,BUY,25000,1.27634
T00166,2025-02-24,GBPUSD,BUY,100000,1.27713
T00167,2025-02-25,GBPUSD,SELL,100000,1.2744
T00168,2025-02-25,GBPUSD,SELL,150000,1.27465
T00169,2025-02-25,AUDUSD,SELL,75000,0.67633
T00170,2025-02-26,GBPUSD,BUY,50000,1.26991
T00171,2025-02-26,GBPUSD,SELL,25000,1.27081
T00172,2025-02-26,AUDUSD,SELL,75000,0.6754
T00173,2025-02-26,AUDUSD,BUY,25000,0.67621
T00174,2025-02-27,EURUSD,BUY,50000,1.05552
T00175,2025-02-27,GBPUSD,BUY,75000,1.26774
T00176,2025-02-27,GBPUSD,BUY,75000,1.26675
T00177,2025-02-27,AUDUSD,BUY,25000,0.6701
T00178,2025-02-27,AUDUSD,SELL,75000,0.67005
T00179,2025-02-28,EURUSD,BUY,75000,1.05574
T00180,2025-02-28,GBPUSD,SELL,100000,1.27382
T00181,2025-02-28,GBPUSD,BUY,50000,1.27269
T00182,2025-02-28,AUDUSD,SELL,150000,0.67038
T00183,2025-03-03,EURUSD,BUY,150000,1.05414
T00184,2025-03-03,EURUSD,BUY,100000,1.05578
T00185,2025-03-03,GBPUSD,BUY,100000,1.27494
T00186,2025-03-03,GBPUSD,SELL,50000,1.27316
T00187,2025-03-04,EURUSD,SELL,50000,1.05281
